Model,F1-Score,Std,Time (s)
XGBoost,0.8515528402956367,0.007251735038283586,36.62256598472595
SVM,0.8381233133785008,0.006122266076527244,753.1014335155487
Gradient Boosting,0.8107994184778949,0.011570787737943303,1940.0217969417572
Random Forest,0.809854551738401,0.008658558239491932,47.861412525177
Extra Trees,0.7890477282447292,0.005518592139783166,13.544423818588257
Logistic Regression,0.7557735326373075,0.00922725134226238,18.708189487457275
KNN,0.6406517807589065,0.006565638148896334,2.6805241107940674
Naive Bayes,0.382176284325599,0.010744831628239375,0.7200942039489746
